"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US42097","Northumberland County, Pennsylvania","91761","*****","86804","287","2457","205","389","173","379","65","35","38","457","180","1240","322","94","63","1146","323"
"0500000US42099","Perry County, Pennsylvania","46053","*****","44605","89","438","65","107","49","162","32","11","13","186","90","544","89","13","12","531","87"
"0500000US42101","Philadelphia County, Pennsylvania","1579075","*****","642060","4330","665333","2384","5754","771","114315","1060","784","222","102480","4602","48349","2459","8376","1126","39973","2265"
"0500000US42103","Pike County, Pennsylvania","55453","*****","49074","459","3526","373","58","47","661","102","38","39","766","298","1330","335","212","139","1118","301"
"0500000US42105","Potter County, Pennsylvania","16806","*****","16346","35","67","22","37","23","59","21","0","16","44","23","253","52","11","13","242","50"
"0500000US42107","Schuylkill County, Pennsylvania","142674","*****","133647","415","4538","236","308","112","703","100","11","16","1464","373","2003","287","293","91","1710","278"
"0500000US42109","Snyder County, Pennsylvania","40483","*****","39022","109","425","68","30","26","275","44","0","22","221","86","510","103","60","51","450","88"
"0500000US42111","Somerset County, Pennsylvania","74361","*****","70757","118","1913","193","67","31","251","67","5","9","295","103","1073","214","80","48","993","213"
"0500000US42113","Sullivan County, Pennsylvania","6135","*****","5866","209","150","164","7","7","5","5","2","2","65","47","40","32","10","24","30","24"
"0500000US42115","Susquehanna County, Pennsylvania","40970","*****","39944","58","275","55","13","8","157","25","16","16","131","58","434","65","21","17","413","62"
"0500000US42117","Tioga County, Pennsylvania","40944","*****","39659","77","297","50","31","26","231","36","13","16","153","65","560","74","56","39","504","59"
"0500000US42119","Union County, Pennsylvania","45111","*****","39190","346","2898","249","241","109","754","101","4","10","1022","247","1002","297","215","99","787","263"
"0500000US42121","Venango County, Pennsylvania","51818","*****","50080","132","407","121","17","13","195","54","0","24","146","119","973","136","30","32","943","130"
"0500000US42123","Warren County, Pennsylvania","39756","*****","38843","56","192","33","45","27","191","34","0","22","63","52","422","52","17","13","405","52"
"0500000US42125","Washington County, Pennsylvania","207212","*****","193929","200","6498","448","142","97","1971","192","81","20","421","169","4170","502","62","40","4108","499"
"0500000US42127","Wayne County, Pennsylvania","51422","*****","48194","143","1639","150","121","59","304","47","9","11","179","93","976","217","72","53","904","227"
"0500000US42129","Westmoreland County, Pennsylvania","352590","*****","333734","288","8330","509","209","87","3257","264","37","34","882","233","6141","596","479","281","5662","565"
"0500000US42131","Wyoming County, Pennsylvania","27327","*****","26534","43","297","40","36","17","60","29","0","19","31","20","369","54","16","14","353","54"
"0500000US42133","York County, Pennsylvania","445565","*****","393960","1127","26395","908","938","246","6831","274","238","102","6188","894","11015","1026","899","222","10116","1015"
